0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
-2.38,-0.88,-0.75,-0.88,0.12,0.5,0,0.12,0.63,-0.12,-2.5,-0.37,1.37,0,0.5,0,-0.37,0.75,-0.75,-1,0.5,0.88,-0.5,-0.12,1.25,0.37,-0.63,0,-1.25,-0.88,-0.75,-8,25.62,-4.38,-0.37,-0.5,1.087902665
-2.38,-1.37,-0.88,-1,0.12,0.25,0,0.12,0.75,-0.37,-2.63,-0.25,0.75,-0.25,0.25,0.25,-0.25,0.75,-0.75,-1,0.5,0.75,-0.5,-0.37,0.88,0.12,-0.63,-0.12,-1.25,-0.88,-0.75,12.63,5.75,-14.88,-10.5,-1.5,1.064780269
-2.38,-1.12,-0.75,-1.12,0.12,0.5,0.12,0.12,0.63,-0.25,-2.38,-0.37,1,0,0.75,0,-0.37,1,-0.88,-1.5,0.75,0.75,-0.5,-0.12,1,-0.25,-0.12,-0.12,-1.25,-0.37,-0.88,26.12,4.75,-1.25,-5.13,-8,1.044257041
-2.38,-1.12,-0.75,-1.25,0.25,0.63,-0.12,-0.12,0.88,-0.37,-2.5,-0.25,1.37,-0.12,0.75,0.75,-0.5,1.37,-0.75,-1.63,1,0.75,-0.63,0.37,0.5,-0.25,0,-0.12,-1.37,-0.5,-1,5.25,-4.88,-0.12,-4.38,-15.88,1.025477305
-2.5,-0.88,-0.75,-1.12,0.12,0.63,-0.12,-0.12,1,-0.37,-2.5,-0.37,3.63,0,0.88,0.37,-0.25,1.25,-1.12,-1.5,1.12,0.5,-0.5,0.37,0.37,0.12,0.12,-0.12,-0.75,-0.63,-1.12,5.25,-10.38,-14.38,-18.75,-10.13,1.009583645
-2.38,-1.88,-0.75,-1.12,0.25,0.5,-0.25,0,1,-0.37,-2.63,-0.12,2.63,0.25,0.75,-0.37,0,1,-1.37,-1.25,1.12,0.63,-0.12,0.12,-0.12,0.37,0,-0.12,-0.75,-0.75,-1.12,-5.5,-14.75,-9.75,-22.12,-4.88,0.996194107
-2.5,-1.75,-0.75,-1.12,0,0.5,-0.37,0.12,1,-0.37,-2.5,0.12,1.75,0.12,0.75,-0.63,0,0.88,-1.25,-1.25,1,0.5,0.25,0,0.37,0.37,0,0.25,-0.88,-0.88,-1.12,-10.5,0,-11.63,-14.5,13.63,0.983802592
-2.38,-1.75,-0.75,-1,0.12,0.37,-0.25,0,0.88,-0.25,-2.38,0.12,-0.12,0.12,0.88,-10.38,-0.12,0.63,-1.12,-1.37,0.88,1.12,0.12,-0.5,0.63,0.37,0.12,0.37,-1,-1.12,-1,-9.13,-0.37,-40.88,-4.25,31,0.969442593
-2.38,-1.63,-0.75,-0.88,0.37,0.37,-0.12,0,0.75,-0.12,-2.13,0,1,0,0.75,-9.88,-0.37,0.5,-1,-1.25,0.88,1.12,-0.37,-0.5,0.63,0.25,0.12,0.37,-1.12,-1.12,-0.88,-10.38,4.25,-17,-3.5,8.88,0.949433596
-2.5,-1.5,-0.75,-1.12,0.12,0.37,0,0.12,0.88,-0.37,-2.25,0.37,0.75,0.25,1,-8.5,-0.5,0.75,-1,-1.25,1.12,1.12,-0.75,-0.5,0.63,0.25,0.5,0.25,-1.63,-0.88,-1,-9.5,-17.12,-4.88,26.25,2.75,0.921332729
